,pre_impute,post_impute
payment_type,0,0
profit_per_order,0,0
sales_per_customer,0,0
category_id,0,0
category_name,0,0
customer_city,0,0
customer_country,0,0
customer_id,0,0
customer_segment,0,0
customer_state,0,0
customer_zipcode,0,0
department_id,0,0
department_name,0,0
latitude,0,0
longitude,0,0
market,0,0
order_city,0,0
order_country,0,0
order_customer_id,0,0
order_date,0,0
order_id,0,0
order_item_cardprod_id,0,0
order_item_discount,0,0
order_item_discount_rate,0,0
order_item_id,0,0
order_item_product_price,0,0
order_item_profit_ratio,0,0
order_item_quantity,0,0
sales,0,0
order_item_total_amount,0,0
order_profit_per_order,0,0
order_region,0,0
order_state,0,0
order_status,0,0
product_card_id,0,0
product_category_id,0,0
product_name,0,0
product_price,0,0
shipping_date,0,0
shipping_mode,0,0
label,0,0
